x y z rx ry rz timestamp left_image right_image
7757675.621897 -363603.667363 0.000000 0.041234 -0.011055 0.678175 1397835357.862843 /dados/ufes/20140418/1397835357.862843.bb8.l.png /dados/ufes/20140418/1397835357.862843.bb8.r.png
7757675.842778 -363603.495544 0.000000 0.041623 -0.011684 0.679418 1397835357.987875 /dados/ufes/20140418/1397835357.987875.bb8.l.png /dados/ufes/20140418/1397835357.987875.bb8.r.png
7757676.074225 -363603.309371 0.000000 0.040752 -0.012301 0.679957 1397835358.112853 /dados/ufes/20140418/1397835358.112853.bb8.l.png /dados/ufes/20140418/1397835358.112853.bb8.r.png
7757676.308275 -363603.127504 0.000000 0.041428 -0.013584 0.681047 1397835358.237786 /dados/ufes/20140418/1397835358.237786.bb8.l.png /dados/ufes/20140418/1397835358.237786.bb8.r.png
7757676.615982 -363602.908065 0.000000 0.042341 -0.019825 0.680797 1397835358.362867 /dados/ufes/20140418/1397835358.362867.bb8.l.png /dados/ufes/20140418/1397835358.362867.bb8.r.png
7757676.834257 -363602.722974 0.000000 0.042779 -0.020575 0.683652 1397835358.487899 /dados/ufes/20140418/1397835358.487899.bb8.l.png /dados/ufes/20140418/1397835358.487899.bb8.r.png
7757677.180282 -363602.450377 0.000000 0.042820 -0.019715 0.684392 1397835358.612868 /dados/ufes/20140418/1397835358.612868.bb8.l.png /dados/ufes/20140418/1397835358.612868.bb8.r.png
7757677.476765 -363602.211225 0.000000 0.044628 -0.019645 0.679958 1397835358.737858 /dados/ufes/20140418/1397835358.737858.bb8.l.png /dados/ufes/20140418/1397835358.737858.bb8.r.png
7757677.809371 -363601.933975 0.000000 0.045930 -0.020608 0.681662 1397835358.862864 /dados/ufes/20140418/1397835358.862864.bb8.l.png /dados/ufes/20140418/1397835358.862864.bb8.r.png
7757678.089880 -363601.748707 0.000000 0.048089 -0.023115 0.685893 1397835358.987854 /dados/ufes/20140418/1397835358.987854.bb8.l.png /dados/ufes/20140418/1397835358.987854.bb8.r.png
7757678.450932 -363601.446763 0.000000 0.046347 -0.023686 0.686340 1397835359.112894 /dados/ufes/20140418/1397835359.112894.bb8.l.png /dados/ufes/20140418/1397835359.112894.bb8.r.png
7757678.817939 -363601.155687 0.000000 0.044305 -0.024331 0.687707 1397835359.237821 /dados/ufes/20140418/1397835359.237821.bb8.l.png /dados/ufes/20140418/1397835359.237821.bb8.r.png
7757679.183555 -363600.840740 0.000000 0.044495 -0.024047 0.686513 1397835359.362874 /dados/ufes/20140418/1397835359.362874.bb8.l.png /dados/ufes/20140418/1397835359.362874.bb8.r.png
7757679.613607 -363600.484963 0.000000 0.044679 -0.024957 0.688052 1397835359.487912 /dados/ufes/20140418/1397835359.487912.bb8.l.png /dados/ufes/20140418/1397835359.487912.bb8.r.png
7757679.979167 -363600.209498 0.000000 0.047887 -0.026355 0.687502 1397835359.612892 /dados/ufes/20140418/1397835359.612892.bb8.l.png /dados/ufes/20140418/1397835359.612892.bb8.r.png
7757680.393227 -363599.871203 0.000000 0.045846 -0.024749 0.692366 1397835359.737910 /dados/ufes/20140418/1397835359.737910.bb8.l.png /dados/ufes/20140418/1397835359.737910.bb8.r.png
7757680.803618 -363599.570660 0.000000 0.046201 -0.022459 0.688630 1397835359.862897 /dados/ufes/20140418/1397835359.862897.bb8.l.png /dados/ufes/20140418/1397835359.862897.bb8.r.png
7757681.201079 -363599.263310 0.000000 0.047760 -0.020475 0.689412 1397835359.987865 /dados/ufes/20140418/1397835359.987865.bb8.l.png /dados/ufes/20140418/1397835359.987865.bb8.r.png
7757681.647029 -363598.884051 0.000000 0.051417 -0.021766 0.685117 1397835360.112945 /dados/ufes/20140418/1397835360.112945.bb8.l.png /dados/ufes/20140418/1397835360.112945.bb8.r.png
7757682.053401 -363598.567301 0.000000 0.053247 -0.026897 0.678978 1397835360.237848 /dados/ufes/20140418/1397835360.237848.bb8.l.png /dados/ufes/20140418/1397835360.237848.bb8.r.png
7757682.478943 -363598.243784 0.000000 0.052752 -0.030729 0.683256 1397835360.362897 /dados/ufes/20140418/1397835360.362897.bb8.l.png /dados/ufes/20140418/1397835360.362897.bb8.r.png
